Model Type,Emb Dim,Window,Neg Samples,Final Loss,Train Time (s)
Custom CBOW,50,2,-,6.029,4.3
Custom CBOW,50,5,-,5.9714,4.1
Custom CBOW,100,2,-,5.9469,4.9
Custom CBOW,100,5,-,5.9517,5.8
Custom CBOW,200,2,-,5.8497,14.7
Custom CBOW,200,5,-,5.919,7.6
Custom SG-NS,50,2,5,2.5713,27.1
Custom SG-NS,50,5,5,2.4594,73.2
Custom SG-NS,100,2,5,2.4625,28.4
Custom SG-NS,100,5,5,2.3237,82.9
Custom SG-NS,200,2,5,2.3199,38.0
Custom SG-NS,200,5,5,2.1638,82.8
Custom SG-NS,300,2,5,2.2144,41.4
Custom SG-NS,300,5,5,2.0646,94.0
